span_m,v_flow_ms,time_yr,max_FI,safety_factor,failure_mode,max_defl_mm,defl_span_ratio,q_total_N_m,deg_factor
1.5,2.5,8,0.005681,176.01,shear,1.4202,0.000947,169.5501,0.6188
1.5,2.5,10,0.013303,75.17,shear,2.0907,0.001394,166.4136,0.5488
1.5,3.0,0,0.005918,168.97,shear,1.7104,0.00114,844.1096,1.0
1.5,3.0,2,0.002451,407.99,shear,1.0515,0.000701,312.1837,0.8869
1.5,3.0,5,0.002778,359.95,shear,1.0512,0.000701,187.1626,0.7408
1.5,3.0,8,0.007232,138.27,shear,1.5989,0.001066,177.0533,0.6188
1.5,3.0,10,0.016887,59.22,shear,2.3502,0.001567,172.9267,0.5488
1.5,3.5,0,0.008705,114.87,shear,2.0734,0.001382,1037.7067,1.0
1.5,3.5,2,0.003536,282.81,shear,1.2639,0.000843,384.8468,0.8869
1.5,3.5,5,0.003569,280.17,shear,1.1903,0.000794,204.2481,0.7408
1.5,3.5,8,0.009023,110.83,shear,1.783,0.001189,185.9207,0.6188
1.5,3.5,10,0.021007,47.6,shear,2.6166,0.001744,180.6241,0.5488
1.5,4.0,0,0.012471,80.18,shear,2.4802,0.001653,1261.0879,1.0
1.5,4.0,2,0.004948,202.1,shear,1.4965,0.000998,468.689,0.8869
1.5,4.0,5,0.004503,222.08,shear,1.3361,0.000891,223.9621,0.7408
1.5,4.0,8,0.01107,90.33,shear,1.9725,0.001315,196.1523,0.6188
1.5,4.0,10,0.025697,38.92,shear,2.8901,0.001927,189.5057,0.5488
1.5,4.5,0,0.017436,57.35,shear,2.9309,0.001954,1514.2533,1.0
1.5,4.5,2,0.006748,148.2,shear,1.7492,0.001166,563.71,0.8869
1.5,4.5,5,0.005594,178.77,shear,1.4886,0.000992,246.3047,0.7408
1.5,4.5,8,0.013391,74.68,shear,2.1675,0.001445,207.7482,0.6188
1.5,4.5,10,0.03099,32.27,shear,3.1706,0.002114,199.5715,0.5488
1.5,5.0,0,0.023845,41.94,shear,3.4254,0.002284,1797.2029,1.0
1.5,5.0,2,0.009,111.11,shear,2.0221,0.001348,669.91,0.8869
1.5,5.0,5,0.006857,145.85,shear,1.6479,0.001099,271.2757,0.7408
1.5,5.0,8,0.016004,62.49,shear,2.3679,0.001579,220.7082,0.6188
