segment,hydro_scenario,degradation_scenario,time_yr,max_FI,safety_factor,max_sigma_MPa,max_tau_MPa,max_defl_mm,q_total_N_m,deg_factor,veg_factor,wall_mm
SUP,median,optimistic,0.0,0.000228,999.0,0.8951,0.0927,0.3352,174.7167,1.0,0.018,15.0
SUP,median,optimistic,0.5,0.000168,999.0,0.7416,0.0786,0.2855,135.0465,0.9851,0.0474,14.5
SUP,median,optimistic,1.0,0.000125,999.0,0.6634,0.0664,0.2441,103.5094,0.9704,0.1192,14.0
SUP,median,optimistic,1.5,0.000105,999.0,0.587,0.0599,0.2206,86.0464,0.956,0.2689,13.5
SUP,median,optimistic,2.0,9.1e-05,999.0,0.5318,0.0551,0.2035,74.686,0.9418,0.5,13.0
SUP,median,optimistic,2.5,8.7e-05,999.0,0.5083,0.0532,0.1972,70.2344,0.9277,0.7311,12.5
SUP,median,optimistic,3.0,9.1e-05,999.0,0.5079,0.0535,0.1996,69.4926,0.9139,0.8808,12.0
SUP,median,optimistic,3.5,0.0001,999.0,0.5208,0.0553,0.2074,70.2018,0.9003,0.9526,11.5
SUP,median,optimistic,4.0,0.000114,999.0,0.5436,0.0582,0.2194,71.9813,0.8869,0.982,11.0
SUP,median,optimistic,4.5,0.00013,999.0,0.568,0.0614,0.2324,73.4405,0.8737,0.9933,10.5
SUP,median,optimistic,5.0,0.00015,999.0,0.5973,0.0651,0.2478,75.2435,0.8607,0.9975,10.0
SUP,median,optimistic,5.5,0.000172,999.0,0.6238,0.0687,0.2625,76.0521,0.8479,0.9991,9.5
SUP,median,optimistic,6.0,0.000198,999.0,0.6539,0.0727,0.2792,76.9558,0.8353,0.9997,9.0
SUP,median,optimistic,6.5,0.000227,999.0,0.6335,0.0772,0.2957,77.0088,0.8228,0.9999,8.5
SUP,median,optimistic,7.0,0.000261,999.0,0.6633,0.0817,0.3143,77.0772,0.8106,1.0,8.0
SUP,median,optimistic,7.5,0.000301,999.0,0.6941,0.0865,0.334,76.6731,0.7985,1.0,7.5
SUP,median,optimistic,8.0,0.000349,999.0,0.7296,0.0919,0.3564,76.2649,0.7866,1.0,7.0
SUP,median,optimistic,8.5,0.00041,999.0,0.7707,0.0981,0.3824,75.8526,0.7749,1.0,6.5
SUP,median,optimistic,9.0,0.000486,999.0,0.819,0.1054,0.4126,75.4362,0.7634,1.0,6.0
SUP,median,optimistic,9.5,0.00058,999.0,0.8721,0.1134,0.4463,74.5089,0.752,1.0,5.5
SUP,median,optimistic,10.0,0.000703,999.0,1.0088,0.1224,0.4867,73.571,0.7408,1.0,5.0
SUP,median,baseline,0.0,0.000228,999.0,0.8951,0.0927,0.3352,174.7167,1.0,0.018,15.0
SUP,median,baseline,0.5,0.000173,999.0,0.7416,0.0786,0.2898,135.0465,0.9704,0.0474,14.5
SUP,median,baseline,1.0,0.000133,999.0,0.6634,0.0664,0.2515,103.5094,0.9418,0.1192,14.0
SUP,median,baseline,1.5,0.000114,999.0,0.587,0.0599,0.2308,86.0464,0.9139,0.2689,13.5
SUP,median,baseline,2.0,0.000102,999.0,0.5318,0.0551,0.2161,74.686,0.8869,0.5,13.0
SUP,median,baseline,2.5,0.000101,999.0,0.5083,0.0532,0.2126,70.2344,0.8607,0.7311,12.5
SUP,median,baseline,3.0,0.000109,999.0,0.5079,0.0535,0.2184,69.4926,0.8353,0.8808,12.0
SUP,median,baseline,3.5,0.000123,999.0,0.5208,0.0553,0.2303,70.2018,0.8106,0.9526,11.5
SUP,median,baseline,4.0,0.000144,999.0,0.5436,0.0582,0.2473,71.9813,0.7866,0.982,11.0
SUP,median,baseline,4.5,0.00017,999.0,0.568,0.0614,0.266,73.4405,0.7634,0.9933,10.5
SUP,median,baseline,5.0,0.000203,999.0,0.5973,0.0651,0.2879,75.2435,0.7408,0.9975,10.0
SUP,median,baseline,5.5,0.000239,999.0,0.6238,0.0687,0.3096,76.0521,0.7189,0.9991,9.5
SUP,median,baseline,6.0,0.000284,999.0,0.6539,0.0727,0.3343,76.9558,0.6977,0.9997,9.0
SUP,median,baseline,6.5,0.000335,999.0,0.6335,0.0772,0.3594,77.0088,0.6771,0.9999,8.5
SUP,median,baseline,7.0,0.000398,999.0,0.6633,0.0817,0.3877,77.0772,0.657,1.0,8.0
SUP,median,baseline,7.5,0.000472,999.0,0.6941,0.0865,0.4182,76.6731,0.6376,1.0,7.5
SUP,median,baseline,8.0,0.000564,999.0,0.7296,0.0919,0.4531,76.2649,0.6188,1.0,7.0
SUP,median,baseline,8.5,0.000682,999.0,0.7707,0.0981,0.4934,75.8526,0.6005,1.0,6.5
SUP,median,baseline,9.0,0.000835,999.0,0.819,0.1054,0.5405,75.4362,0.5827,1.0,6.0
SUP,median,baseline,9.5,0.001026,975.09,0.8721,0.1134,0.5935,74.5089,0.5655,1.0,5.5
SUP,median,baseline,10.0,0.001281,780.5,1.0088,0.1224,0.657,73.571,0.5488,1.0,5.0
SUP,median,pessimistic,0.0,0.000228,999.0,0.8951,0.0927,0.3352,174.7167,1.0,0.018,15.0
SUP,median,pessimistic,0.5,0.00018,999.0,0.7416,0.0786,0.2957,135.0465,0.9512,0.0474,14.5
SUP,median,pessimistic,1.0,0.000144,999.0,0.6634,0.0664,0.2618,103.5094,0.9048,0.1192,14.0
SUP,median,pessimistic,1.5,0.000129,999.0,0.587,0.0599,0.245,86.0464,0.8607,0.2689,13.5
SUP,median,pessimistic,2.0,0.00012,999.0,0.5318,0.0551,0.2341,74.686,0.8187,0.5,13.0
SUP,median,pessimistic,2.5,0.000123,999.0,0.5083,0.0532,0.2349,70.2344,0.7788,0.7311,12.5
SUP,median,pessimistic,3.0,0.000138,999.0,0.5079,0.0535,0.2462,69.4926,0.7408,0.8808,12.0
SUP,median,pessimistic,3.5,0.000163,999.0,0.5208,0.0553,0.2649,70.2018,0.7047,0.9526,11.5
SUP,median,pessimistic,4.0,0.000199,999.0,0.5436,0.0582,0.2902,71.9813,0.6703,0.982,11.0
SUP,median,pessimistic,4.5,0.000244,999.0,0.568,0.0614,0.3185,73.4405,0.6376,0.9933,10.5
SUP,median,pessimistic,5.0,0.000303,999.0,0.5973,0.0651,0.3516,75.2435,0.6065,0.9975,10.0
SUP,median,pessimistic,5.5,0.000372,999.0,0.6238,0.0687,0.3858,76.0521,0.5769,0.9991,9.5
SUP,median,pessimistic,6.0,0.00046,999.0,0.6539,0.0727,0.425,76.9558,0.5488,0.9997,9.0
SUP,median,pessimistic,6.5,0.000564,999.0,0.6335,0.0772,0.4661,77.0088,0.522,0.9999,8.5
SUP,median,pessimistic,7.0,0.000696,999.0,0.6633,0.0817,0.513,77.0772,0.4966,1.0,8.0
SUP,median,pessimistic,7.5,0.00086,999.0,0.6941,0.0865,0.5645,76.6731,0.4724,1.0,7.5
SUP,median,pessimistic,8.0,0.00107,934.15,0.7296,0.0919,0.624,76.2649,0.4493,1.0,7.0
SUP,median,pessimistic,8.5,0.001347,742.48,0.7707,0.0981,0.6932,75.8526,0.4274,1.0,6.5
SUP,median,pessimistic,9.0,0.001715,583.24,0.819,0.1054,0.7747,75.4362,0.4066,1.0,6.0
SUP,median,pessimistic,9.5,0.002193,456.01,0.8721,0.1134,0.8678,74.5089,0.3867,1.0,5.5
SUP,median,pessimistic,10.0,0.002851,350.7,1.0088,0.1224,0.9801,73.571,0.3679,1.0,5.0
SUP,P90,optimistic,0.0,0.001573,635.64,2.4568,0.2421,0.8811,386.7362,1.0,0.018,15.0
SUP,P90,optimistic,0.5,0.001389,720.12,2.2308,0.2246,0.8182,327.526,0.9851,0.0474,14.5
SUP,P90,optimistic,1.0,0.001113,898.26,1.9202,0.1987,0.7233,253.4991,0.9704,0.1192,14.0
SUP,P90,optimistic,1.5,0.000923,999.0,1.6861,0.1787,0.6506,202.3322,0.956,0.2689,13.5
SUP,P90,optimistic,2.0,0.000737,999.0,1.453,0.1577,0.5742,157.4708,0.9418,0.5,13.0
SUP,P90,optimistic,2.5,0.000633,999.0,1.306,0.1442,0.5264,132.1947,0.9277,0.7311,12.5
SUP,P90,optimistic,3.0,0.000585,999.0,1.2196,0.1368,0.5008,115.9879,0.9139,0.8808,12.0
SUP,P90,optimistic,3.5,0.000593,999.0,1.1938,0.1358,0.4987,108.1708,0.9003,0.9526,11.5
SUP,P90,optimistic,4.0,0.000625,999.0,1.1931,0.1375,0.5069,102.9221,0.8869,0.982,11.0
SUP,P90,optimistic,4.5,0.000678,999.0,1.2106,0.1413,0.5228,99.7913,0.8737,0.9933,10.5
SUP,P90,optimistic,5.0,0.000745,999.0,1.2359,0.1461,0.5424,97.1905,0.8607,0.9975,10.0
SUP,P90,optimistic,5.5,0.00083,999.0,1.2708,0.152,0.5667,95.5125,0.8479,0.9991,9.5
SUP,P90,optimistic,6.0,0.00093,999.0,1.3114,0.1587,0.5941,93.9516,0.8353,0.9997,9.0
SUP,P90,optimistic,6.5,0.001053,949.78,1.3599,0.1665,0.6258,92.776,0.8228,0.9999,8.5
SUP,P90,optimistic,7.0,0.0012,833.31,1.4152,0.1752,0.6615,91.6188,0.8106,1.0,8.0
SUP,P90,optimistic,7.5,0.00138,724.62,1.4795,0.1853,0.7024,90.6025,0.7985,1.0,7.5
SUP,P90,optimistic,8.0,0.001601,624.55,1.5537,0.1968,0.7492,89.5828,0.7866,1.0,7.0
SUP,P90,optimistic,8.5,0.001877,532.86,1.6399,0.21,0.8031,88.5593,0.7749,1.0,6.5
SUP,P90,optimistic,9.0,0.002226,449.29,1.7411,0.2255,0.8661,87.5322,0.7634,1.0,6.0
SUP,P90,optimistic,9.5,0.002679,373.29,1.8623,0.2439,0.9409,86.6049,0.752,1.0,5.5
SUP,P90,optimistic,10.0,0.003278,305.08,2.0085,0.266,1.0306,85.667,0.7408,1.0,5.0
SUP,P90,baseline,0.0,0.001573,635.64,2.4568,0.2421,0.8811,386.7362,1.0,0.018,15.0
SUP,P90,baseline,0.5,0.001431,698.83,2.2308,0.2246,0.8306,327.526,0.9704,0.0474,14.5
SUP,P90,baseline,1.0,0.001182,845.95,1.9202,0.1987,0.7453,253.4991,0.9418,0.1192,14.0
SUP,P90,baseline,1.5,0.00101,990.2,1.6861,0.1787,0.6805,202.3322,0.9139,0.2689,13.5
SUP,P90,baseline,2.0,0.000831,999.0,1.453,0.1577,0.6097,157.4708,0.8869,0.5,13.0
SUP,P90,baseline,2.5,0.000735,999.0,1.306,0.1442,0.5674,132.1947,0.8607,0.7311,12.5
SUP,P90,baseline,3.0,0.000701,999.0,1.2196,0.1368,0.548,115.9879,0.8353,0.8808,12.0
SUP,P90,baseline,3.5,0.000731,999.0,1.1938,0.1358,0.5539,108.1708,0.8106,0.9526,11.5
SUP,P90,baseline,4.0,0.000795,999.0,1.1931,0.1375,0.5715,102.9221,0.7866,0.982,11.0
SUP,P90,baseline,4.5,0.000889,999.0,1.2106,0.1413,0.5983,99.7913,0.7634,0.9933,10.5
SUP,P90,baseline,5.0,0.001006,994.02,1.2359,0.1461,0.6302,97.1905,0.7408,0.9975,10.0
SUP,P90,baseline,5.5,0.001154,866.36,1.2708,0.152,0.6683,95.5125,0.7189,0.9991,9.5
SUP,P90,baseline,6.0,0.001333,749.91,1.3114,0.1587,0.7112,93.9516,0.6977,0.9997,9.0
SUP,P90,baseline,6.5,0.001555,643.06,1.3599,0.1665,0.7605,92.776,0.6771,0.9999,8.5
SUP,P90,baseline,7.0,0.001826,547.53,1.4152,0.1752,0.816,91.6188,0.657,1.0,8.0
SUP,P90,baseline,7.5,0.002164,462.04,1.4795,0.1853,0.8796,90.6025,0.6376,1.0,7.5
SUP,P90,baseline,8.0,0.002588,386.46,1.5537,0.1968,0.9524,89.5828,0.6188,1.0,7.0
SUP,P90,baseline,8.5,0.003125,319.98,1.6399,0.21,1.0364,88.5593,0.6005,1.0,6.5
SUP,P90,baseline,9.0,0.003819,261.82,1.7411,0.2255,1.1345,87.5322,0.5827,1.0,6.0
SUP,P90,baseline,9.5,0.004737,211.11,1.8623,0.2439,1.2511,86.6049,0.5655,1.0,5.5
SUP,P90,baseline,10.0,0.005973,167.43,2.0085,0.266,1.3912,85.667,0.5488,1.0,5.0
SUP,P90,pessimistic,0.0,0.001573,635.64,2.4568,0.2421,0.8811,386.7362,1.0,0.018,15.0
SUP,P90,pessimistic,0.5,0.001489,671.43,2.2308,0.2246,0.8474,327.526,0.9512,0.0474,14.5
SUP,P90,pessimistic,1.0,0.001281,780.91,1.9202,0.1987,0.7757,253.4991,0.9048,0.1192,14.0
SUP,P90,pessimistic,1.5,0.001139,878.23,1.6861,0.1787,0.7226,202.3322,0.8607,0.2689,13.5
SUP,P90,pessimistic,2.0,0.000975,999.0,1.453,0.1577,0.6605,157.4708,0.8187,0.5,13.0
SUP,P90,pessimistic,2.5,0.000898,999.0,1.306,0.1442,0.6271,132.1947,0.7788,0.7311,12.5
SUP,P90,pessimistic,3.0,0.000891,999.0,1.2196,0.1368,0.6178,115.9879,0.7408,0.8808,12.0
SUP,P90,pessimistic,3.5,0.000967,999.0,1.1938,0.1358,0.6371,108.1708,0.7047,0.9526,11.5
SUP,P90,pessimistic,4.0,0.001094,913.93,1.1931,0.1375,0.6707,102.9221,0.6703,0.982,11.0
SUP,P90,pessimistic,4.5,0.001274,785.06,1.2106,0.1413,0.7163,99.7913,0.6376,0.9933,10.5
SUP,P90,pessimistic,5.0,0.001501,666.31,1.2359,0.1461,0.7697,97.1905,0.6065,0.9975,10.0
SUP,P90,pessimistic,5.5,0.001792,557.97,1.2708,0.152,0.8328,95.5125,0.5769,0.9991,9.5
SUP,P90,pessimistic,6.0,0.002155,464.03,1.3114,0.1587,0.9042,93.9516,0.5488,0.9997,9.0
SUP,P90,pessimistic,6.5,0.002616,382.31,1.3599,0.1665,0.9863,92.776,0.522,0.9999,8.5
SUP,P90,pessimistic,7.0,0.003197,312.75,1.4152,0.1752,1.0797,91.6188,0.4966,1.0,8.0
SUP,P90,pessimistic,7.5,0.003944,253.57,1.4795,0.1853,1.1874,90.6025,0.4724,1.0,7.5
SUP,P90,pessimistic,8.0,0.004907,203.78,1.5537,0.1968,1.3115,89.5828,0.4493,1.0,7.0
SUP,P90,pessimistic,8.5,0.006169,162.11,1.6399,0.21,1.4561,88.5593,0.4274,1.0,6.5
SUP,P90,pessimistic,9.0,0.007847,127.44,1.7411,0.2255,1.6261,87.5322,0.4066,1.0,6.0
SUP,P90,pessimistic,9.5,0.010129,98.73,1.8623,0.2439,1.8295,86.6049,0.3867,1.0,5.5
SUP,P90,pessimistic,10.0,0.013292,75.23,2.0085,0.266,2.0754,85.667,0.3679,1.0,5.0
SUP,P95,optimistic,0.0,0.005409,184.86,4.5226,0.4493,1.6314,684.5778,1.0,0.018,15.0
SUP,P95,optimistic,0.5,0.005009,199.62,4.214,0.4269,1.5523,599.7617,0.9851,0.0474,14.5
SUP,P95,optimistic,1.0,0.00409,244.53,3.6612,0.3811,1.3847,467.7708,0.9704,0.1192,14.0
SUP,P95,optimistic,1.5,0.003383,295.6,3.2088,0.3423,1.244,369.6616,0.956,0.2689,13.5
SUP,P95,optimistic,2.0,0.002639,378.87,2.7272,0.2987,1.0849,277.4708,0.9418,0.5,13.0
SUP,P95,optimistic,2.5,0.002199,454.76,2.4069,0.2691,0.9787,222.4107,0.9277,0.7311,12.5
SUP,P95,optimistic,3.0,0.00196,510.08,2.1986,0.2508,0.9135,183.9944,0.9139,0.8808,12.0
SUP,P95,optimistic,3.5,0.001931,517.77,2.1173,0.2456,0.8968,163.8782,0.9003,0.9526,11.5
SUP,P95,optimistic,4.0,0.001983,504.24,2.0819,0.2455,0.8988,148.4617,0.8869,0.982,11.0
SUP,P95,optimistic,4.5,0.002112,473.47,2.0878,0.2499,0.9178,138.664,0.8737,0.9933,10.5
SUP,P95,optimistic,5.0,0.002274,439.68,2.1054,0.2557,0.9423,129.6439,0.8607,0.9975,10.0
SUP,P95,optimistic,5.5,0.002505,399.16,2.1504,0.2647,0.9788,124.33,0.8479,0.9991,9.5
SUP,P95,optimistic,6.0,0.002777,360.04,2.2035,0.2748,1.0201,119.1572,0.8353,0.9997,9.0
SUP,P95,optimistic,6.5,0.00313,319.51,2.2786,0.2877,1.072,116.1779,0.8228,0.9999,8.5
SUP,P95,optimistic,7.0,0.003552,281.56,2.3645,0.3022,1.1305,113.2194,0.8106,1.0,8.0
SUP,P95,optimistic,7.5,0.004082,245.0,2.4705,0.3194,1.1999,111.3028,0.7985,1.0,7.5
SUP,P95,optimistic,8.0,0.004732,211.31,2.5927,0.3391,1.2792,109.3829,0.7866,1.0,7.0
SUP,P95,optimistic,8.5,0.005543,180.41,2.7348,0.3618,1.3708,107.4594,0.7749,1.0,6.5
SUP,P95,optimistic,9.0,0.00657,152.22,2.9018,0.3883,1.4776,105.5322,0.7634,1.0,6.0
SUP,P95,optimistic,9.5,0.007933,126.06,3.1094,0.4206,1.6078,104.6049,0.752,1.0,5.5
SUP,P95,optimistic,10.0,0.009738,102.69,3.3596,0.4594,1.7641,103.667,0.7408,1.0,5.0
SUP,P95,baseline,0.0,0.005409,184.86,4.5226,0.4493,1.6314,684.5778,1.0,0.018,15.0
SUP,P95,baseline,0.5,0.005162,193.72,4.214,0.4269,1.5758,599.7617,0.9704,0.0474,14.5
SUP,P95,baseline,1.0,0.004342,230.29,3.6612,0.3811,1.4269,467.7708,0.9418,0.1192,14.0
SUP,P95,baseline,1.5,0.003702,270.15,3.2088,0.3423,1.3012,369.6616,0.9139,0.2689,13.5
SUP,P95,baseline,2.0,0.002976,336.03,2.7272,0.2987,1.152,277.4708,0.8869,0.5,13.0
SUP,P95,baseline,2.5,0.002555,391.41,2.4069,0.2691,1.055,222.4107,0.8607,0.7311,12.5
SUP,P95,baseline,3.0,0.002347,426.05,2.1986,0.2508,0.9995,183.9944,0.8353,0.8808,12.0
SUP,P95,baseline,3.5,0.002383,419.7,2.1173,0.2456,0.9961,163.8782,0.8106,0.9526,11.5
SUP,P95,baseline,4.0,0.002521,396.65,2.0819,0.2455,1.0134,148.4617,0.7866,0.982,11.0
SUP,P95,baseline,4.5,0.002767,361.44,2.0878,0.2499,1.0504,138.664,0.7634,0.9933,10.5
SUP,P95,baseline,5.0,0.00307,325.72,2.1054,0.2557,1.0948,129.6439,0.7408,0.9975,10.0
SUP,P95,baseline,5.5,0.003485,286.97,2.1504,0.2647,1.1544,124.33,0.7189,0.9991,9.5
SUP,P95,baseline,6.0,0.003981,251.19,2.2035,0.2748,1.2212,119.1572,0.6977,0.9997,9.0
SUP,P95,baseline,6.5,0.004623,216.32,2.2786,0.2877,1.3028,116.1779,0.6771,0.9999,8.5
SUP,P95,baseline,7.0,0.005406,185.0,2.3645,0.3022,1.3947,113.2194,0.657,1.0,8.0
SUP,P95,baseline,7.5,0.006401,156.22,2.4705,0.3194,1.5026,111.3028,0.6376,1.0,7.5
SUP,P95,baseline,8.0,0.007648,130.76,2.5927,0.3391,1.6262,109.3829,0.6188,1.0,7.0
SUP,P95,baseline,8.5,0.009231,108.33,2.7348,0.3618,1.7689,107.4594,0.6005,1.0,6.5
SUP,P95,baseline,9.0,0.011273,88.7,2.9018,0.3883,1.9356,105.5322,0.5827,1.0,6.0
SUP,P95,baseline,9.5,0.014027,71.29,3.1094,0.4206,2.138,104.6049,0.5655,1.0,5.5
SUP,P95,baseline,10.0,0.017745,56.36,3.3596,0.4594,2.3813,103.667,0.5488,1.0,5.0
SUP,P95,pessimistic,0.0,0.005409,184.86,4.5226,0.4493,1.6314,684.5778,1.0,0.018,15.0
SUP,P95,pessimistic,0.5,0.005373,186.13,4.214,0.4269,1.6076,599.7617,0.9512,0.0474,14.5
SUP,P95,pessimistic,1.0,0.004704,212.58,3.6612,0.3811,1.4851,467.7708,0.9048,0.1192,14.0
SUP,P95,pessimistic,1.5,0.004174,239.61,3.2088,0.3423,1.3817,369.6616,0.8607,0.2689,13.5
SUP,P95,pessimistic,2.0,0.003492,286.35,2.7272,0.2987,1.2479,277.4708,0.8187,0.5,13.0
SUP,P95,pessimistic,2.5,0.00312,320.46,2.4069,0.2691,1.1659,222.4107,0.7788,0.7311,12.5
SUP,P95,pessimistic,3.0,0.002984,335.15,2.1986,0.2508,1.127,183.9944,0.7408,0.8808,12.0
SUP,P95,pessimistic,3.5,0.003153,317.2,2.1173,0.2456,1.1458,163.8782,0.7047,0.9526,11.5
SUP,P95,pessimistic,4.0,0.003472,288.02,2.0819,0.2455,1.1893,148.4617,0.6703,0.982,11.0
SUP,P95,pessimistic,4.5,0.003966,252.17,2.0878,0.2499,1.2576,138.664,0.6376,0.9933,10.5
SUP,P95,pessimistic,5.0,0.00458,218.34,2.1054,0.2557,1.3372,129.6439,0.6065,0.9975,10.0
SUP,P95,pessimistic,5.5,0.005411,184.82,2.1504,0.2647,1.4385,124.33,0.5769,0.9991,9.5
SUP,P95,pessimistic,6.0,0.006434,155.43,2.2035,0.2748,1.5525,119.1572,0.5488,0.9997,9.0
SUP,P95,pessimistic,6.5,0.007775,128.61,2.2786,0.2877,1.6896,116.1779,0.522,0.9999,8.5
SUP,P95,pessimistic,7.0,0.009463,105.67,2.3645,0.3022,1.8453,113.2194,0.4966,1.0,8.0
SUP,P95,pessimistic,7.5,0.011664,85.74,2.4705,0.3194,2.0284,111.3028,0.4724,1.0,7.5
SUP,P95,pessimistic,8.0,0.014504,68.95,2.5927,0.3391,2.2395,109.3829,0.4493,1.0,7.0
SUP,P95,pessimistic,8.5,0.01822,54.88,2.7348,0.3618,2.4852,107.4594,0.4274,1.0,6.5
SUP,P95,pessimistic,9.0,0.02316,43.18,2.9018,0.3883,2.7743,105.5322,0.4066,1.0,6.0
SUP,P95,pessimistic,9.5,0.029994,33.34,3.1094,0.4206,3.1264,104.6049,0.3867,1.0,5.5
SUP,P95,pessimistic,10.0,0.039491,25.32,3.3596,0.4594,3.5524,103.667,0.3679,1.0,5.0
MED,median,optimistic,0.0,0.000614,999.0,1.4966,0.1517,0.5472,318.6941,1.0,0.018,15.0
MED,median,optimistic,0.5,0.000393,999.0,1.1587,0.1199,0.4347,233.0505,0.9851,0.0474,14.5
MED,median,optimistic,1.0,0.000258,999.0,0.9064,0.0959,0.3496,170.4503,0.9704,0.1192,14.0
MED,median,optimistic,1.5,0.000202,999.0,0.7769,0.0837,0.3066,138.673,0.956,0.2689,13.5
MED,median,optimistic,2.0,0.000174,999.0,0.7025,0.0767,0.2823,121.1215,0.9418,0.5,13.0
MED,median,optimistic,2.5,0.000174,999.0,0.6864,0.0756,0.2793,116.7501,0.9277,0.7311,12.5
MED,median,optimistic,3.0,0.000194,999.0,0.7097,0.0787,0.2918,119.7057,0.9139,0.8808,12.0
MED,median,optimistic,3.5,0.000226,999.0,0.748,0.0836,0.3112,124.3993,0.9003,0.9526,11.5
MED,median,optimistic,4.0,0.000271,999.0,0.8027,0.0905,0.338,131.2133,0.8869,0.982,11.0
MED,median,optimistic,4.5,0.000323,999.0,0.8562,0.0973,0.3652,136.732,0.8737,0.9933,10.5
MED,median,optimistic,5.0,0.00039,999.0,0.9188,0.1054,0.397,143.0149,0.8607,0.9975,10.0
MED,median,optimistic,5.5,0.000458,999.0,0.9722,0.1126,0.4259,146.5687,0.8479,0.9991,9.5
MED,median,optimistic,6.0,0.000541,999.0,1.0325,0.1207,0.4587,150.3516,0.8353,0.9997,9.0
MED,median,optimistic,6.5,0.000629,999.0,1.0859,0.1283,0.4895,151.8945,0.8228,0.9999,8.5
MED,median,optimistic,7.0,0.000736,999.0,1.1463,0.1368,0.5243,153.4861,0.8106,1.0,8.0
MED,median,optimistic,7.5,0.000856,999.0,1.2067,0.1455,0.5602,153.8561,0.7985,1.0,7.5
MED,median,optimistic,8.0,0.001005,994.75,1.2759,0.1554,0.6012,154.2304,0.7866,1.0,7.0
MED,median,optimistic,8.5,0.001193,838.48,1.3561,0.1669,0.6486,154.609,0.7749,1.0,6.5
MED,median,optimistic,9.0,0.001432,698.39,1.4499,0.1803,0.7039,154.9919,0.7634,1.0,6.0
MED,median,optimistic,9.5,0.001719,581.61,1.5499,0.1948,0.764,154.0646,0.752,1.0,5.5
MED,median,optimistic,10.0,0.002099,476.46,1.6705,0.2122,0.8361,153.1267,0.7408,1.0,5.0
MED,median,baseline,0.0,0.000614,999.0,1.4966,0.1517,0.5472,318.6941,1.0,0.018,15.0
MED,median,baseline,0.5,0.000405,999.0,1.1587,0.1199,0.4413,233.0505,0.9704,0.0474,14.5
MED,median,baseline,1.0,0.000274,999.0,0.9064,0.0959,0.3603,170.4503,0.9418,0.1192,14.0
MED,median,baseline,1.5,0.000221,999.0,0.7769,0.0837,0.3207,138.673,0.9139,0.2689,13.5
MED,median,baseline,2.0,0.000197,999.0,0.7025,0.0767,0.2997,121.1215,0.8869,0.5,13.0
MED,median,baseline,2.5,0.000202,999.0,0.6864,0.0756,0.301,116.7501,0.8607,0.7311,12.5
MED,median,baseline,3.0,0.000233,999.0,0.7097,0.0787,0.3193,119.7057,0.8353,0.8808,12.0
MED,median,baseline,3.5,0.000278,999.0,0.748,0.0836,0.3457,124.3993,0.8106,0.9526,11.5
MED,median,baseline,4.0,0.000345,999.0,0.8027,0.0905,0.3811,131.2133,0.7866,0.982,11.0
MED,median,baseline,4.5,0.000424,999.0,0.8562,0.0973,0.4179,136.732,0.7634,0.9933,10.5
MED,median,baseline,5.0,0.000526,999.0,0.9188,0.1054,0.4612,143.0149,0.7408,0.9975,10.0
MED,median,baseline,5.5,0.000637,999.0,0.9722,0.1126,0.5023,146.5687,0.7189,0.9991,9.5
MED,median,baseline,6.0,0.000776,999.0,1.0325,0.1207,0.5491,150.3516,0.6977,0.9997,9.0
MED,median,baseline,6.5,0.000929,999.0,1.0859,0.1283,0.5949,151.8945,0.6771,0.9999,8.5
MED,median,baseline,7.0,0.00112,893.22,1.1463,0.1368,0.6468,153.4861,0.657,1.0,8.0
MED,median,baseline,7.5,0.001343,744.81,1.2067,0.1455,0.7015,153.8561,0.6376,1.0,7.5
MED,median,baseline,8.0,0.001625,615.53,1.2759,0.1554,0.7643,154.2304,0.6188,1.0,7.0
MED,median,baseline,8.5,0.001986,503.5,1.3561,0.1669,0.837,154.609,0.6005,1.0,6.5
MED,median,baseline,9.0,0.002457,406.98,1.4499,0.1803,0.922,154.9919,0.5827,1.0,6.0
MED,median,baseline,9.5,0.00304,328.92,1.5499,0.1948,1.0159,154.0646,0.5655,1.0,5.5
MED,median,baseline,10.0,0.003824,261.49,1.6705,0.2122,1.1286,153.1267,0.5488,1.0,5.0
MED,median,pessimistic,0.0,0.000614,999.0,1.4966,0.1517,0.5472,318.6941,1.0,0.018,15.0
MED,median,pessimistic,0.5,0.000422,999.0,1.1587,0.1199,0.4502,233.0505,0.9512,0.0474,14.5
MED,median,pessimistic,1.0,0.000297,999.0,0.9064,0.0959,0.375,170.4503,0.9048,0.1192,14.0
MED,median,pessimistic,1.5,0.000249,999.0,0.7769,0.0837,0.3406,138.673,0.8607,0.2689,13.5
MED,median,pessimistic,2.0,0.000231,999.0,0.7025,0.0767,0.3247,121.1215,0.8187,0.5,13.0
MED,median,pessimistic,2.5,0.000247,999.0,0.6864,0.0756,0.3327,116.7501,0.7788,0.7311,12.5
MED,median,pessimistic,3.0,0.000296,999.0,0.7097,0.0787,0.36,119.7057,0.7408,0.8808,12.0
MED,median,pessimistic,3.5,0.000368,999.0,0.748,0.0836,0.3976,124.3993,0.7047,0.9526,11.5
MED,median,pessimistic,4.0,0.000475,999.0,0.8027,0.0905,0.4472,131.2133,0.6703,0.982,11.0
MED,median,pessimistic,4.5,0.000607,999.0,0.8562,0.0973,0.5004,136.732,0.6376,0.9933,10.5
MED,median,pessimistic,5.0,0.000785,999.0,0.9188,0.1054,0.5633,143.0149,0.6065,0.9975,10.0
