segment,hydro,degradation,time_yr,max_FI,safety_factor,max_sigma_MPa,max_tau_MPa,max_disp_lat_mm,width_m,height_m
MED,P95,baseline,4.5,0.02150735785426203,46.49571587436222,6.354930643304559,0.7184399409933264,4.392947515849283,3.0,0.76
MED,median,baseline,5.0,0.02484229263009061,40.25393368036952,6.559422464474392,0.7495141332938062,4.672395928786282,3.0,0.76
MED,P90,baseline,5.0,0.02484229263009061,40.25393368036952,6.559422464474392,0.7495141332938062,4.672395928786282,3.0,0.76
MED,P95,baseline,5.0,0.02484229263009061,40.25393368036952,6.559422464474392,0.7495141332938062,4.672395928786282,3.0,0.76
MED,median,baseline,5.5,0.028902743977611313,34.5987910620051,6.795208388910564,0.7847618103438253,4.987761151005827,3.0,0.76
MED,P90,baseline,5.5,0.028902743977611313,34.5987910620051,6.795208388910564,0.7847618103438253,4.987761151005827,3.0,0.76
MED,P95,baseline,5.5,0.028902743977611313,34.5987910620051,6.795208388910564,0.7847618103438253,4.987761151005827,3.0,0.76
MED,median,baseline,6.0,0.033841137235626276,29.54983436393649,7.062042654813192,0.8242756610870067,5.341485321415944,3.0,0.76
MED,P90,baseline,6.0,0.033841137235626276,29.54983436393649,7.062042654813192,0.8242756610870067,5.341485321415944,3.0,0.76
MED,P95,baseline,6.0,0.033841137235626276,29.54983436393649,7.062042654813192,0.8242756610870067,5.341485321415944,3.0,0.76
MED,median,baseline,6.5,0.03987993589099482,25.075265986719085,7.363274564882967,0.8685729874691981,5.738937991675236,3.0,0.76
MED,P90,baseline,6.5,0.03987993589099482,25.075265986719085,7.363274564882967,0.8685729874691981,5.738937991675236,3.0,0.76
MED,P95,baseline,6.5,0.03987993589099482,25.075265986719085,7.363274564882967,0.8685729874691981,5.738937991675236,3.0,0.76
MED,median,baseline,7.0,0.04732696604466966,21.129602921432735,7.704517252799058,0.918459460043434,6.187779136763343,3.0,0.76
MED,P90,baseline,7.0,0.04732696604466966,21.129602921432735,7.704517252799058,0.918459460043434,6.187779136763343,3.0,0.76
